gene,Start,End,EcoCyc accession,locus_tag,30C_1_m,30C_1_f,te_1,30C_2_m,30C_2_f,te_2,30C_3_m,30C_3_f,te_3
sapF,1350658,1349852,ECK1285,b1290,39.0,35.7,0.9,44.0,28.0,0.6,40.9,26.7,0.7
satP,10494,9928,ECK0010,b0010,42.0,29.9,0.7,84.1,110.7,1.3,68.7,99.7,1.5
sbcB,2080780,2082207,ECK2005,b2011,47.3,76.4,1.6,30.8,49.2,1.6,26.7,40.3,1.5
sbcC,414977,411831,ECK0391,b0397,23.7,15.3,0.6,25.3,20.2,0.8,28.8,18.9,0.7
sbcD,416176,414974,ECK0392,b0398,15.3,18.3,1.2,21.0,30.6,1.5,22.8,27.3,1.2
sbmA,395863,397083,ECK0372,b0377,21.0,15.1,0.7,24.5,18.5,0.8,27.7,33.7,1.2
sbmC,2079286,2078813,ECK2003,b2009,21.8,31.6,1.4,13.8,17.7,1.3,12.6,28.2,2.2
sbp,4106857,4107846,ECK3909,b3917,7.3,1.2,0.2,13.2,1.7,0.1,6.0,4.2,0.7
scpA,3058872,3061016,ECK2913,b2917,2.1,0.4,0.2,0.9,0.0,0.0,0.9,1.0,1.0
scpB,3062015,3062800,ECK2915,b2919,2.9,6.7,2.3,3.6,5.3,1.5,3.0,2.6,0.9
scpC,3062824,3064302,ECK2916,b2920,3.0,0.5,0.2,2.5,0.6,0.2,3.0,0.0,0.0
sdaA,1894956,1896320,ECK1812,b1814,67.2,112.8,1.7,117.2,134.3,1.1,89.4,137.0,1.5
sdaB,2927598,2928965,ECK2792,b2797,270.3,178.0,0.7,274.8,182.9,0.7,399.4,220.1,0.6
sdaC,2926251,2927540,ECK2791,b2796,341.7,401.0,1.2,516.2,547.6,1.1,543.2,873.0,1.6
sdhA,755130,756896,ECK0712,b0723,219.7,216.1,1.0,322.9,277.1,0.9,321.8,205.3,0.6
sdhB,756912,757628,ECK0713,b0724,284.8,392.4,1.4,272.6,412.1,1.5,318.4,348.2,1.1
sdhC,754400,754789,ECK0710,b0721,87.7,118.3,1.3,172.7,212.5,1.2,93.8,266.1,2.8
sdhD,754783,755130,ECK0711,b0722,144.8,123.1,0.9,274.1,163.6,0.6,219.4,191.9,0.9
sdhE,3039092,3038826,ECK2892,b2897,175.2,534.5,3.1,206.7,341.7,1.7,186.2,407.9,2.2
sdiA,1994856,1994134,ECK1915,b1916,115.1,84.8,0.7,67.3,75.2,1.1,90.8,59.7,0.7
secA,108279,110984,ECK0099,b0098,308.4,631.8,2.0,301.7,488.4,1.6,361.4,378.6,1.0
secB,3782151,3781684,ECK3599,b3609,980.5,2397.9,2.4,887.3,1870.7,2.1,945.7,1609.4,1.7
secD,426871,428718,ECK0402,b0408,461.8,173.0,0.4,547.1,216.5,0.4,678.5,230.7,0.3
secE,4175381,4175764,ECK3972,b3981,1124.6,563.3,0.5,1466.3,1216.3,0.8,1448.8,1359.3,0.9
secF,428729,429700,ECK0403,b0409,430.0,231.0,0.5,463.8,315.2,0.7,553.5,322.4,0.6
secG,3320527,3320195,ECK3164,b3175,1269.9,714.5,0.6,4201.8,1457.8,0.3,4702.7,2629.0,0.6
secY,3442119,3440788,ECK3287,b3300,13694.2,1149.3,0.1,12604.0,867.8,0.1,14322.7,1683.2,0.1
selA,3759272,3757881,ECK3580,b3591,109.2,120.6,1.1,83.3,55.3,0.7,77.7,49.5,0.6
selB,3757884,3756040,ECK3579,b3590,89.5,91.3,1.0,91.8,90.3,1.0,94.2,88.0,0.9
selD,1846032,1844989,ECK1762,b1764,252.9,437.7,1.7,222.2,272.6,1.2,213.7,212.6,1.0
seqA,712210,712755,ECK0675,b0687,307.3,303.1,1.0,286.1,372.5,1.3,307.4,301.1,1.0
serA,3056432,3055200,ECK2909,b2913,882.6,2181.1,2.5,616.7,1649.6,2.7,570.2,1125.9,2.0
serB,4622918,4623886,ECK4380,b4388,153.7,125.0,0.8,160.2,159.8,1.0,181.0,159.1,0.9
serC,956876,957964,ECK0898,b0907,612.2,1085.0,1.8,433.7,697.1,1.6,412.6,427.4,1.0
serS,938651,939943,ECK0884,b0893,989.8,1501.9,1.5,792.1,1282.4,1.6,728.3,1120.5,1.5
setA,77621,78799,ECK0072,b0070,20.2,5.0,0.2,19.8,2.1,0.1,22.6,15.7,0.7
setB,2261885,2263066,ECK2163,b2170,5.7,5.9,1.0,7.9,7.1,0.9,4.7,7.0,1.5
setC,3834976,3836160,ECK3649,b3659,0.8,0.0,0.0,2.4,0.7,0.3,2.3,0.0,0.0
sfmA,557435,557977,ECK0523,b0530,0.8,0.7,0.9,0.0,0.0,#DIV/0!,0.7,0.0,0.0
sfmC,558197,558889,ECK0524,b0531,0.6,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
sfmD,558920,561523,ECK0525,b0532,0.9,0.0,0.0,2.2,0.6,0.3,1.8,0.8,0.4
sfmF,562553,563068,ECK0527,b0534,1.7,0.0,0.0,1.8,0.0,0.0,2.3,0.0,0.0
sfmH,561565,562542,ECK0526,b0533,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
sfsA,161486,160782,ECK0145,b0146,95.1,65.2,0.7,67.7,43.9,0.6,104.4,67.0,0.6
sfsB,3332931,3333209,ECK3177,b3188,37.1,11.9,0.3,43.6,24.0,0.6,39.9,18.4,0.5
sgbE,3748109,3748804,ECK3572,b3583,7.1,4.5,0.6,6.7,1.2,0.2,2.9,1.5,0.5
sgbH,3746600,3747262,ECK3570,b3581,1.4,2.6,1.9,1.4,5.0,3.6,3.0,3.1,1.0
sgbU,3747255,3748115,ECK3571,b3582,3.1,3.6,1.2,3.3,4.9,1.5,1.8,0.0,0.0
sgcA,4526003,4525572,ECK4291,b4302,4.2,3.6,0.9,2.2,9.7,4.5,2.8,2.4,0.9
sgcB,4528556,4528278,ECK4294,b4565,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,1.4,0.0,0.0
sgcC,4528266,4526953,ECK4293,b4304,5.8,1.2,0.2,3.6,0.0,0.0,0.3,2.3,7.8
sgcE,4525560,4524928,ECK4290,b4301,6.4,1.8,0.3,7.4,1.3,0.2,3.1,0.0,0.0
sgcQ,4526940,4526134,ECK4292,b4303,3.3,4.3,1.3,5.8,3.1,0.5,2.5,5.1,2.1
sgcR,4524911,4524129,ECK4289,b4300,8.0,2.7,0.3,9.6,1.1,0.1,4.6,0.0,0.0
sgcX,4529674,4528553,ECK4295,b4305,2.4,0.0,0.0,3.3,1.5,0.4,1.1,2.7,2.6
sgrR,77299,75644,ECK0070,b0069,29.9,39.2,1.3,20.3,40.9,2.0,16.1,23.6,1.5
sgrT,77388,77519,ECK4477,b4662,44.3,10.3,0.2,35.4,6.3,0.2,81.3,7.8,0.1
shiA,2051667,2052983,ECK1976,b1981,46.1,44.2,1.0,51.8,36.2,0.7,47.4,42.9,0.9
shoB,2698219,2698139,ECK4502,b4687,177.7,2.4,0.0,138.6,10.3,0.1,324.0,38.1,0.1
sieB,1416695,1417183,ECK1351,b1353,0.0,2.0,#DIV/0!,0.0,1.7,#DIV/0!,0.0,0.0,#DIV/0!
sixA,2454834,2454349,ECK2334,b2340,71.3,48.9,0.7,144.3,110.2,0.8,174.3,116.3,0.7
slmA,3812517,3813113,ECK3631,b3641,146.2,74.4,0.5,250.7,119.2,0.5,220.5,106.7,0.5
slp,3651984,3652550,ECK3490,b3506,12.7,16.1,1.3,9.9,5.9,0.6,4.9,19.9,4.1
slt,4628756,4630693,ECK4384,b4392,24.1,38.5,1.6,20.3,24.6,1.2,22.4,28.1,1.3
slyA,1718848,1718414,ECK1638,b1642,152.0,137.4,0.9,118.3,144.3,1.2,169.1,132.3,0.8
slyB,1717900,1718367,ECK1637,b1641,1071.8,2850.1,2.7,869.3,1895.8,2.2,990.8,1932.1,2.0
slyD,3476519,3475929,ECK3336,b3349,2180.8,6042.5,2.8,2323.2,5561.6,2.4,2343.6,4795.1,2.0
slyX,3475662,3475880,ECK3335,b3348,67.8,91.6,1.4,85.4,175.8,2.1,199.7,258.1,1.3
smf,3431582,3430458,ECK3272,b4473,87.6,6.4,0.1,53.2,6.7,0.1,53.0,9.1,0.2
smg,3430486,3430013,ECK3271,b3284,391.0,131.0,0.3,163.8,56.5,0.3,190.4,91.0,0.5
smpB,2752918,2753400,ECK2616,b2620,239.4,784.0,3.3,205.3,615.2,3.0,172.9,670.1,3.9
smrA,1404003,1404566,ECK1337,b1340,15.2,9.0,0.6,36.5,14.8,0.4,40.9,16.4,0.4
smrB,2446628,2447179,ECK2325,b2331,112.5,196.8,1.8,93.2,119.8,1.3,105.9,117.3,1.1
smtA,972760,973545,ECK0912,b0921,138.5,54.5,0.4,169.0,62.8,0.4,160.4,64.1,0.4
sodA,4098833,4099453,ECK3901,b3908,1355.4,4458.0,3.3,1796.8,4581.3,2.5,1567.6,4586.6,2.9
sodB,1733402,1733983,ECK1652,b1656,949.2,3727.7,3.9,784.2,2631.8,3.4,640.2,2395.8,3.7
sodC,1722679,1722158,ECK1642,b1646,28.4,11.6,0.4,9.0,8.0,0.9,23.6,5.9,0.3
sohB,1327356,1328405,ECK1266,b1272,119.1,157.8,1.3,110.5,122.0,1.1,156.0,139.0,0.9
solA,1119809,1118691,ECK1044,b1059,94.1,165.3,1.8,63.5,117.4,1.8,61.5,102.8,1.7
soxR,4275492,4275956,ECK4055,b4063,15.5,20.9,1.4,16.1,18.0,1.1,15.4,30.9,2.0
soxS,4275406,4275083,ECK4054,b4062,29.2,48.1,1.6,26.0,43.9,1.7,6.1,47.6,7.8
speA,3083933,3081957,ECK2933,b2938,646.0,809.0,1.3,772.1,818.8,1.1,771.0,591.5,0.8
speB,3081819,3080899,ECK2932,b2937,403.5,1049.8,2.6,455.0,906.1,2.0,501.3,671.6,1.3
speC,3107177,3105042,ECK2960,b2965,53.3,61.6,1.2,76.6,74.8,1.0,62.6,51.0,0.8
speD,135582,134788,ECK0119,b0120,374.6,558.6,1.5,385.9,620.1,1.6,342.6,458.8,1.3
speE,136464,135598,ECK0120,b0121,394.9,578.7,1.5,440.1,468.2,1.1,408.2,467.0,1.1
speF,719683,717485,ECK0681,b0693,1.8,0.0,0.0,1.3,0.0,0.0,1.6,0.0,0.0
speG,1654208,1654768,ECK1579,b1584,64.2,116.3,1.8,65.0,71.6,1.1,28.4,102.6,3.6
spoT,3820423,3822531,ECK3640,b3650,335.1,89.7,0.3,468.3,82.5,0.2,442.2,100.9,0.2
sppA,1846861,1848717,ECK1764,b1766,65.6,62.3,0.9,71.5,52.7,0.7,81.8,68.6,0.8
spy,1823649,1823164,ECK1741,b1743,13.0,48.1,3.7,23.1,37.9,1.6,15.5,12.7,0.8
sra,1553987,1553850,ECK1474,b1480,42.4,294.9,7.0,61.0,188.0,3.1,11.5,320.2,27.8
srlA,2823854,2824417,ECK2697,b2702,2.4,6.2,2.6,3.3,1.5,0.4,0.7,1.8,2.6
srlB,2825384,2825755,ECK2699,b2704,3.6,5.2,1.4,7.5,6.8,0.9,0.0,0.0,#DIV/0!
srlD,2825759,2826538,ECK2700,b2705,8.7,9.7,1.1,0.0,7.5,#DIV/0!,4.1,6.6,1.6
srlE,2824414,2825373,ECK2698,b2703,0.5,2.4,5.2,1.9,0.9,0.4,0.8,0.0,0.0
srlR,2827069,2827842,ECK2702,b2707,47.1,53.1,1.1,23.0,21.6,0.9,22.1,27.9,1.3
srmB,2710918,2712252,ECK2574,b2576,81.2,140.0,1.7,136.6,303.5,2.2,130.5,281.7,2.2
ssb,4272148,4272684,ECK4051,b4059,489.2,1129.0,2.3,569.5,1359.2,2.4,571.7,1291.6,2.3
sseA,2650516,2651361,ECK2517,b2521,80.3,166.9,2.1,60.8,89.0,1.5,53.1,102.0,1.9
sseB,2652955,2652179,ECK2519,b2522,108.3,100.0,0.9,120.4,123.9,1.0,171.5,142.8,0.8
ssnA,3017183,3018511,ECK2875,b2879,1.0,0.1,0.1,0.7,0.6,0.9,1.2,0.0,0.0
sspA,3375442,3374804,ECK3218,b3229,675.8,906.5,1.3,967.5,1304.6,1.3,778.5,1156.2,1.5
sspB,3374798,3374301,ECK3217,b3228,700.1,179.1,0.3,959.7,369.8,0.4,895.1,439.5,0.5
sstT,3237966,3239210,ECK3080,b3089,197.6,205.5,1.0,187.1,175.5,0.9,169.6,229.4,1.4
ssuA,996167,995208,ECK0927,b0936,0.0,1.0,#DIV/0!,1.0,2.6,2.7,1.2,2.1,1.7
ssuB,993267,992500,ECK0924,b0933,1.2,1.3,1.1,2.4,3.3,1.3,5.7,8.0,1.4
ssuC,994055,993264,ECK0925,b0934,3.4,0.5,0.1,2.4,0.0,0.0,0.5,0.0,0.0
ssuD,995211,994066,ECK0926,b0935,0.4,2.2,5.6,0.8,1.5,1.8,2.4,1.8,0.7
ssuE,996735,996160,ECK0928,b0937,0.0,1.0,#DIV/0!,0.0,0.0,#DIV/0!,2.1,3.6,1.7
stfE,1208878,1208342,ECK1143,b1157,0.8,0.7,0.9,0.0,1.6,#DIV/0!,0.7,0.0,0.0
stfR,1427073,1430435,ECK1367,b1372,1.2,0.2,0.2,0.8,0.2,0.3,1.1,0.6,0.6
sthA,4158813,4157413,ECK3954,b3962,87.7,128.4,1.5,130.2,160.1,1.2,123.5,167.2,1.4
stpA,2796517,2796113,ECK2663,b2669,41.1,58.6,1.4,99.3,136.4,1.4,142.4,197.9,1.4
sucA,757929,760730,ECK0714,b0726,307.0,308.7,1.0,300.7,231.5,0.8,297.9,232.1,0.8
sucB,760745,761962,ECK0715,b0727,514.1,954.5,1.9,513.0,851.4,1.7,516.2,708.6,1.4
sucC,762237,763403,ECK0716,b0728,391.3,761.8,1.9,404.7,645.5,1.6,443.3,374.2,0.8
sucD,763403,764272,ECK0717,b0729,414.2,815.5,2.0,416.0,630.2,1.5,365.7,549.2,1.5
sufA,1762410,1762042,ECK1680,b1684,13.4,20.1,1.5,22.8,18.1,0.8,24.8,8.4,0.3
sufB,1762033,1760546,ECK1679,b1683,15.4,16.7,1.1,16.3,9.0,0.6,26.2,9.7,0.4
sufC,1760536,1759790,ECK1678,b1682,13.9,21.6,1.6,21.3,31.4,1.5,14.9,9.6,0.6
sufD,1759815,1758544,ECK1677,b1681,14.1,13.0,0.9,16.2,14.5,0.9,15.3,12.9,0.8
sufE,1757314,1756898,ECK1675,b1679,14.0,14.5,1.0,6.7,8.0,1.2,14.3,19.7,1.4
sufS,1758547,1757327,ECK1676,b1680,11.1,13.9,1.3,12.3,8.9,0.7,16.9,10.9,0.6
sugE,4374898,4375215,ECK4144,b4148,117.4,59.4,0.5,94.1,47.4,0.5,137.6,74.3,0.5
suhB,2661464,2662267,ECK2530,b2533,231.1,412.4,1.8,560.7,1028.6,1.8,553.5,968.7,1.8
sulA,1020142,1019633,ECK0949,b0958,47.6,96.6,2.0,34.8,36.1,1.0,21.1,48.4,2.3
surA,54702,53416,ECK0054,b0053,286.3,362.9,1.3,396.8,388.9,1.0,456.4,322.5,0.7
sxy,1020361,1020990,ECK0950,b0959,22.1,9.3,0.4,19.3,6.6,0.3,18.3,8.2,0.4
syd,2923302,2922757,ECK2788,b2793,76.6,100.6,1.3,56.5,79.7,1.4,72.1,122.3,1.7
symE,4577863,4577522,ECK4337,b4347,15.8,6.3,0.4,10.9,12.2,1.1,9.3,12.0,1.3
tabA,4472885,4473337,ECK4245,b4252,86.4,204.6,2.4,55.7,129.3,2.3,53.5,127.0,2.4
tadA,2695879,2695376,ECK2557,b2559,49.1,22.4,0.5,118.8,76.4,0.6,127.0,89.7,0.7
tag,3711115,3711678,ECK3536,b3549,43.9,101.5,2.3,28.2,41.6,1.5,24.7,36.4,1.5
talA,2576688,2577638,ECK2459,b2464,15.1,26.4,1.7,8.9,13.2,1.5,8.8,21.6,2.5
talB,8238,9191,ECK0008,b0008,740.3,2463.1,3.3,712.7,1736.3,2.4,607.3,1665.2,2.7
tam,1605370,1606128,ECK1512,b1519,4.7,10.3,2.2,0.0,6.6,#DIV/0!,4.7,9.5,2.0
tamA,4440405,4442138,ECK4216,b4220,55.0,37.3,0.7,50.7,31.9,0.6,49.1,33.2,0.7
tamB,4442135,4445914,ECK4217,b4221,41.4,19.8,0.5,48.5,19.7,0.4,60.8,29.4,0.5
tap,1969008,1967407,ECK1886,b1885,167.4,69.4,0.4,187.4,53.8,0.3,242.3,67.3,0.3
tar,1970715,1969054,ECK1887,b1886,251.5,232.2,0.9,275.2,232.2,0.8,340.5,333.9,1.0
tas,2969619,2970659,ECK2830,b2834,140.4,354.4,2.5,114.1,217.9,1.9,105.0,179.6,1.7
tatA,4019968,4020237,ECK3830,b3836,576.5,1075.9,1.9,322.2,753.3,2.3,447.7,650.8,1.5
tatB,4020241,4020756,ECK3831,b3838,371.4,120.0,0.3,339.0,113.5,0.3,337.6,135.4,0.4
tatC,4020759,4021535,ECK3832,b3839,150.0,42.1,0.3,233.5,74.3,0.3,207.3,133.6,0.6
tatD,4021577,4022359,ECK3833,b4483,29.3,18.9,0.6,40.6,33.1,0.8,46.7,38.1,0.8
tatE,658170,658373,ECK0620,b0627,200.7,479.1,2.4,224.7,615.4,2.7,271.0,609.5,2.2
tauA,384456,385418,ECK0362,b0365,1.4,0.4,0.3,4.9,0.0,0.0,0.0,0.0,#DIV/0!
tauB,385431,386198,ECK0363,b0366,1.2,0.0,0.0,0.0,0.0,#DIV/0!,1.6,1.3,0.9
tauC,386195,387022,ECK0364,b0367,0.5,0.0,0.0,2.3,1.0,0.4,0.5,0.0,0.0
tauD,387019,387870,ECK0365,b0368,2.6,3.0,1.1,4.4,1.0,0.2,1.4,3.6,2.6
tbpA,75480,74497,ECK0069,b0068,14.2,13.9,1.0,42.8,24.7,0.6,38.0,31.3,0.8
tcdA,2943864,2943058,ECK2808,b2812,117.1,93.9,0.8,146.0,133.8,0.9,157.7,109.5,0.7
tdcA,3265087,3264149,ECK3107,b3118,1.0,3.3,3.5,2.0,0.0,0.0,0.8,0.0,0.0
tdcB,3264050,3263061,ECK3106,b3117,0.9,0.2,0.2,0.9,0.0,0.0,1.2,0.0,0.0
tdcC,3263039,3261708,ECK3105,b3116,4.7,3.7,0.8,8.4,3.8,0.4,2.7,7.7,2.9
tdcD,3261694,3260474,ECK3104,b3115,2.9,0.8,0.3,1.5,2.1,1.3,3.6,3.4,0.9
tdcE,3260440,3258146,ECK3103,b3114,5.7,5.0,0.9,3.3,2.6,0.8,4.0,0.9,0.2
tdcF,3258132,3257743,ECK3102,b3113,5.8,8.0,1.4,7.2,2.1,0.3,2.0,2.6,1.3
tdcG,3257671,3256307,ECK3101,b4471,2.3,1.9,0.8,7.5,0.0,0.0,4.4,3.0,0.7
tdcR,3265402,3265620,ECK3108,b3119,0.0,0.9,#DIV/0!,0.0,0.0,#DIV/0!,0.0,4.7,#DIV/0!
tdh,3789368,3788343,ECK3606,b3616,282.4,381.2,1.4,235.2,313.3,1.3,239.1,252.4,1.1
tdk,1292750,1293367,ECK1233,b1238,51.0,109.0,2.1,53.0,180.1,3.4,74.0,113.1,1.5
tehA,1498597,1499589,ECK1422,b1429,21.7,11.8,0.5,19.8,18.5,0.9,13.6,19.7,1.4
tehB,1499586,1500179,ECK1423,b1430,57.6,214.0,3.7,47.2,142.3,3.0,28.8,107.3,3.7
tesA,518989,518363,ECK0488,b0494,45.9,55.9,1.2,43.3,28.0,0.6,34.2,55.7,1.6
tesB,474385,473525,ECK0446,b0452,63.7,100.2,1.6,66.3,87.5,1.3,55.4,76.4,1.4
tfaD,580757,581320,ECK0553,b0561,0.8,0.3,0.4,0.0,1.5,#DIV/0!,0.7,0.0,0.0
tfaE,1208342,1207740,ECK1142,b1156,3.0,0.6,0.2,3.1,0.0,0.0,2.0,0.0,0.0
tfaS,2468825,2469127,ECK2347,b2353,16.3,3.9,0.2,21.6,2.8,0.1,21.0,13.6,0.6
tfaX,582098,582283,ECK0555,b0563,9.7,3.1,0.3,0.0,9.0,#DIV/0!,4.3,5.5,1.3
tgt,425361,426488,ECK0400,b0406,593.0,771.0,1.3,653.4,628.5,1.0,761.5,502.8,0.7
thiC,4194122,4192227,ECK3986,b3994,10.9,6.0,0.5,5.4,5.3,1.0,7.3,2.2,0.3
thiD,2182538,2181738,ECK2096,b2103,16.3,14.1,0.9,7.0,8.4,1.2,11.4,6.4,0.6
thiE,4192227,4191592,ECK3985,b3993,6.4,4.0,0.6,2.9,3.9,1.3,5.0,6.5,1.3
thiF,4191599,4190844,ECK3984,b3992,5.4,1.8,0.3,8.7,0.0,0.0,2.6,2.7,1.0
thiG,4190658,4189888,ECK3982,b3991,2.9,5.8,2.0,8.5,3.3,0.4,5.7,4.0,0.7
thiH,4189891,4188758,ECK3981,b3990,4.4,1.5,0.4,9.1,2.2,0.2,4.9,0.0,0.0
thiI,440773,442221,ECK0417,b0423,170.4,219.7,1.3,202.0,328.1,1.6,181.4,268.1,1.5
thiK,1162483,1163307,ECK1092,b1106,56.2,5.4,0.1,57.8,8.1,0.1,58.3,7.5,0.1
thiL,434858,435835,ECK0411,b0417,58.0,22.9,0.4,108.1,49.6,0.5,97.2,43.1,0.4
thiM,2183323,2182535,ECK2097,b2104,6.8,15.5,2.3,13.0,10.6,0.8,13.6,14.3,1.1
thiP,74521,72911,ECK0068,b0067,14.2,5.9,0.4,33.7,8.8,0.3,32.1,9.6,0.3
thiQ,72927,72229,ECK0067,b0066,20.0,14.8,0.7,24.1,14.4,0.6,33.6,23.5,0.7
thiS,4190860,4190660,ECK3983,b4407,4.5,3.9,0.9,0.0,0.0,#DIV/0!,7.9,0.0,0.0
thrA,337,2799,ECK0002,b0002,796.0,1111.0,1.4,596.9,587.2,1.0,536.2,464.3,0.9
thrB,2801,3733,ECK0003,b0003,762.8,449.1,0.6,651.6,426.1,0.7,594.1,348.0,0.6
thrC,3734,5020,ECK0004,b0004,807.4,1023.3,1.3,633.7,688.1,1.1,661.8,550.1,0.8
thrL,190,255,ECK0001,b0001,2249.3,2507.5,1.1,3004.3,3360.7,1.1,2886.1,3798.7,1.3
thrS,1800594,1798666,ECK1717,b1719,1067.2,1257.5,1.2,995.4,737.6,0.7,1040.6,663.7,0.6
thyA,2963177,2962383,ECK2823,b2827,153.3,204.7,1.3,221.2,248.5,1.1,171.1,315.4,1.8
tig,454357,455655,ECK0430,b0436,3183.3,8070.9,2.5,3041.3,7131.6,2.3,3712.7,5443.8,1.5
tilS,212331,213629,ECK0187,b0188,40.2,26.8,0.7,67.7,34.2,0.5,50.8,38.0,0.7
tisB,3851576,3851665,ECK4427,b4618,75.0,0.0,0.0,166.3,0.0,0.0,141.4,0.0,0.0
tktA,3079657,3077666,ECK2930,b2935,649.3,1410.8,2.2,693.5,1214.7,1.8,532.2,891.9,1.7
tktB,2577658,2579661,ECK2460,b2465,9.9,15.4,1.6,7.9,6.7,0.8,8.1,12.8,1.6
tldD,3390050,3388605,ECK3233,b3244,205.0,222.3,1.1,198.6,231.5,1.2,179.6,203.2,1.1
tmcA,2593881,2591866,ECK2470,b2474,38.2,8.2,0.2,41.8,10.8,0.3,41.0,18.9,0.5
tmk,1154347,1154988,ECK1084,b1098,107.2,71.3,0.7,104.9,125.2,1.2,128.2,110.4,0.9
tnaA,3886753,3888168,ECK3701,b3708,2.5,1.9,0.8,2.6,0.6,0.2,2.8,0.0,0.0
tnaB,3888259,3889506,ECK3702,b3709,1.1,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0
tolA,775565,776830,ECK0728,b0739,132.9,23.5,0.2,164.7,48.3,0.3,286.2,60.1,0.2
tolB,776963,778255,ECK0729,b0740,653.7,434.4,0.7,705.3,444.7,0.6,644.0,406.9,0.6
tolC,3176137,3177618,ECK3026,b3035,369.1,810.3,2.2,373.0,634.2,1.7,370.6,572.7,1.5
tolQ,774376,775068,ECK0726,b0737,103.9,70.5,0.7,207.8,192.0,0.9,182.5,218.0,1.2
tolR,775072,775500,ECK0727,b0738,150.0,67.2,0.4,198.4,107.3,0.5,240.1,88.6,0.4
tomB,479932,479558,ECK0455,b0461,179.9,19.2,0.1,137.2,8.9,0.1,284.2,16.4,0.1
tonB,1309113,1309832,ECK1246,b1252,82.5,90.6,1.1,72.7,80.2,1.1,85.6,91.3,1.1
topA,1329072,1331669,ECK1268,b1274,394.6,384.4,1.0,418.3,409.2,1.0,413.9,332.2,0.8
topB,1844984,1843023,ECK1761,b1763,126.8,35.0,0.3,139.7,52.5,0.4,131.9,41.4,0.3
torA,1058479,1061025,ECK0988,b0997,2.1,0.7,0.3,1.1,0.7,0.6,1.7,0.8,0.5
torC,1057307,1058479,ECK0987,b0996,0.0,0.0,#DIV/0!,0.8,0.0,0.0,0.0,0.0,#DIV/0!
torD,1061022,1061621,ECK0989,b0998,4.5,0.0,0.0,7.8,0.0,0.0,5.3,0.0,0.0
torI,2474332,2474532,ECK2359,b4501,38.0,3.9,0.1,46.5,0.0,0.0,27.7,10.2,0.4
torR,1057177,1056485,ECK0986,b0995,23.4,36.8,1.6,6.7,26.6,3.9,12.1,20.8,1.7
torS,1055401,1052657,ECK0984,b0993,4.1,0.3,0.1,4.4,1.5,0.3,3.8,3.7,1.0
torT,1055484,1056512,ECK0985,b0994,4.8,4.0,0.8,3.6,2.4,0.7,2.3,1.0,0.4
torY,1956156,1955056,ECK1874,b1873,0.4,0.5,1.3,0.8,0.8,0.9,3.6,0.0,0.0
torZ,1955031,1952602,ECK1873,b1872,2.8,3.4,1.2,2.7,1.7,0.6,2.1,2.1,1.0
tpiA,4109530,4108763,ECK3911,b3919,848.7,2524.7,3.0,608.9,1346.0,2.2,563.9,1081.0,1.9
tppB,1710793,1712295,ECK1630,b1634,481.6,484.9,1.0,497.2,535.7,1.1,515.7,771.8,1.5
tpr,1286411,1286310,ECK1224,b1229,52.9,3.8,0.1,128.4,0.0,0.0,120.9,10.1,0.1
tpx,1386835,1386329,ECK1320,b1324,1315.0,5416.6,4.1,1398.3,5022.0,3.6,1180.4,4051.3,3.4
tqsA,1671937,1672971,ECK1596,b1601,15.2,8.8,0.6,4.5,6.5,1.4,6.5,7.9,1.2
treA,1246599,1244902,ECK1185,b1197,2.6,4.8,1.8,1.7,3.9,2.4,2.3,4.2,1.8
treB,4464203,4462782,ECK4235,b4240,3.8,4.8,1.3,3.9,5.3,1.3,4.8,4.3,0.9
treC,4462732,4461077,ECK4234,b4239,4.6,3.6,0.8,4.0,4.0,1.0,3.1,0.6,0.2
treF,3667615,3669264,ECK3504,b3519,8.7,3.4,0.4,4.5,3.6,0.8,7.5,6.9,0.9
treR,4465269,4464322,ECK4236,b4241,20.4,42.1,2.1,18.7,42.4,2.3,17.6,42.3,2.4
trg,1490494,1492134,ECK1415,b1421,24.1,24.7,1.0,20.5,14.3,0.7,38.3,32.6,0.9
trkA,3434540,3435916,ECK3276,b3290,88.9,34.8,0.4,67.9,27.4,0.4,87.2,40.3,0.5
trkG,1421806,1423263,ECK1362,b1363,9.3,6.9,0.8,10.9,8.0,0.7,11.7,5.6,0.5
trkH,4031168,4032619,ECK3841,b3849,70.3,23.5,0.3,81.8,25.4,0.3,89.6,42.5,0.5
trmA,4161293,4160193,ECK3957,b3965,103.0,66.1,0.6,123.2,182.5,1.5,144.1,157.7,1.1
trmD,2743361,2742594,ECK2604,b2607,7959.1,280.6,0.0,8966.9,413.1,0.0,9405.1,1386.1,0.1
trmH,3822538,3823227,ECK3641,b3651,113.4,86.3,0.8,185.7,109.2,0.6,180.4,122.1,0.7
trmI,3100874,3100155,ECK2955,b2960,226.8,240.1,1.1,266.3,458.0,1.7,282.2,365.3,1.3
trmJ,2661345,2660605,ECK2529,b2532,306.0,534.2,1.7,330.7,544.4,1.6,352.6,481.2,1.4
