gene,Start,End,EcoCyc accession,locus_tag,30C_1_m,30C_1_f,te_1,30C_2_m,30C_2_f,te_2,30C_3_m,30C_3_f,te_3,TE_n_nonmissing,TE_mean,TE_all_missing
rcnB,2184982.0,2185320.0,ECK2100,b2107,100.9,176.9,1.8,143.5,182.7,1.3,125.5,203.1,1.6,3,1.5666666666666667,False
rcnR,2183818.0,2183546.0,ECK2098,b2105,33.0,72.0,2.2,34.3,49.1,1.4,26.2,75.3,2.9,3,2.1666666666666665,False
rcsA,2021992.0,2022615.0,ECK1949,b1951,21.6,25.0,1.2,28.5,25.5,0.9,38.2,32.9,0.9,3,1.0,False
rcsB,2314199.0,2314849.0,ECK2210,b2217,381.4,1005.8,2.6,317.5,790.7,2.5,385.4,661.3,1.7,3,2.2666666666666666,False
rcsC,2317850.0,2315049.0,ECK2211,b2218,34.2,16.8,0.5,40.7,21.5,0.5,39.0,12.1,0.3,3,0.43333333333333335,False
rcsD,2311510.0,2314182.0,ECK2209,b2216,90.0,38.7,0.4,92.4,40.1,0.4,107.0,43.8,0.4,3,0.4000000000000001,False
rcsF,219995.0,219591.0,ECK0196,b0196,86.6,231.7,2.7,103.9,229.4,2.2,92.3,248.6,2.7,3,2.5333333333333337,False
rdgB,3094703.0,3095296.0,ECK2949,b2954,90.9,138.0,1.5,130.7,194.5,1.5,137.9,109.0,0.8,3,1.2666666666666666,False
rdgC,409243.0,408332.0,ECK0388,b0393,156.4,294.4,1.9,160.0,305.6,1.9,170.1,237.7,1.4,3,1.7333333333333332,False
rdoA,4040438.0,4041424.0,ECK3851,b3859,144.5,37.9,0.3,167.7,54.3,0.3,160.4,82.2,0.5,3,0.3666666666666667,False
recA,2821791.0,2820730.0,ECK2694,b2699,529.9,1536.7,2.9,452.7,970.2,2.1,507.4,843.7,1.7,3,2.2333333333333334,False
recB,2954025.0,2950483.0,ECK2816,b2820,42.5,11.5,0.3,41.2,8.3,0.2,41.3,13.1,0.3,3,0.26666666666666666,False
recC,2960450.0,2957082.0,ECK2818,b2822,46.2,17.3,0.4,48.0,9.4,0.2,36.4,18.0,0.5,3,0.3666666666666667,False
recD,2950483.0,2948657.0,ECK2815,b2819,34.5,14.2,0.4,27.6,10.5,0.4,36.6,16.3,0.4,3,0.4000000000000001,False
recE,1415410.0,1412810.0,ECK1347,b1350,1.0,1.3,1.2,1.1,1.6,1.5,0.8,1.2,1.6,3,1.4333333333333336,False
recF,3879244.0,3878171.0,ECK3692,b3700,108.9,18.1,0.2,136.7,34.3,0.3,126.3,20.1,0.2,3,0.2333333333333333,False
recG,3823233.0,3825314.0,ECK3642,b3652,65.5,24.7,0.4,63.3,15.7,0.2,62.8,20.7,0.3,3,0.30000000000000004,False
recJ,3036128.0,3034395.0,ECK2887,b2892,132.8,55.9,0.4,137.5,73.9,0.5,148.4,54.5,0.4,3,0.43333333333333335,False
recN,2749817.0,2751478.0,ECK2612,b2616,40.9,40.3,1.0,27.0,29.2,1.1,31.1,35.9,1.2,3,1.0999999999999999,False
recO,2700491.0,2699763.0,ECK2563,b2565,95.6,19.0,0.2,134.7,19.5,0.1,123.8,29.6,0.2,3,0.16666666666666666,False
recQ,4003887.0,4005716.0,ECK3816,b3822,51.4,18.1,0.4,71.0,30.2,0.4,71.1,32.0,0.5,3,0.43333333333333335,False
recR,493629.0,494234.0,ECK0466,b0472,443.2,114.1,0.3,568.0,211.3,0.4,425.2,288.3,0.7,3,0.4666666666666666,False
recT,1412817.0,1412008.0,ECK1346,b1349,2.8,3.6,1.3,3.5,1.0,0.3,2.5,0.0,0.0,3,0.5333333333333333,False
recX,2820661.0,2820161.0,ECK2693,b2698,7.2,5.8,0.8,16.8,8.4,0.5,10.3,2.1,0.2,3,0.5,False
relA,2911673.0,2909439.0,ECK2778,b2784,118.8,73.2,0.6,106.7,68.2,0.6,99.8,63.0,0.6,3,0.6,False
relB,1643896.0,1643657.0,ECK1558,b1564,99.3,309.1,3.1,81.8,226.7,2.8,72.9,128.4,1.8,3,2.566666666666667,False
relE,1643657.0,1643370.0,ECK1557,b1563,76.5,45.3,0.6,71.4,52.3,0.7,93.9,32.1,0.3,3,0.5333333333333333,False
rem,1642926.0,1642675.0,ECK1555,b1561,3.6,1.5,0.4,14.8,0.0,0.0,6.3,4.1,0.6,3,0.3333333333333333,False
renD,567285.0,567470.0,ECK0533,b0542,9.7,11.5,1.2,25.1,18.0,0.7,23.5,22.1,0.9,3,0.9333333333333332,False
rep,3958700.0,3960721.0,ECK3770,b3778,52.7,26.5,0.5,67.1,35.6,0.5,75.7,53.9,0.7,3,0.5666666666666667,False
rfaD,3792010.0,3792942.0,ECK3609,b3619,401.6,863.9,2.2,376.9,606.4,1.6,372.9,548.5,1.5,3,1.7666666666666668,False
rfaE,3194775.0,3193342.0,ECK3042,b3052,192.6,271.7,1.4,192.4,247.5,1.3,201.6,202.8,1.0,3,1.2333333333333334,False
rfaH,4022844.0,4022356.0,ECK3834,b3842,20.2,29.5,1.5,82.2,83.9,1.0,98.4,105.1,1.1,3,1.2,False
rfbA,2109043.0,2108162.0,ECK2033,b2039,320.8,705.5,2.2,218.4,411.9,1.9,316.1,295.9,0.9,3,1.6666666666666667,False
rfbB,2111085.0,2110000.0,ECK2035,b2041,304.0,485.7,1.6,282.5,530.3,1.9,371.7,320.7,0.9,3,1.4666666666666668,False
rfbC,2108162.0,2107605.0,ECK2032,b2038,229.0,334.3,1.5,150.9,208.5,1.4,297.9,174.9,0.6,3,1.1666666666666667,False
rfbD,2110000.0,2109101.0,ECK2034,b2040,225.9,310.9,1.4,241.1,276.2,1.1,200.6,247.7,1.2,3,1.2333333333333334,False
rfbX,2107608.0,2106361.0,ECK2031,b2037,120.8,56.9,0.5,90.7,52.3,0.6,164.4,56.0,0.3,3,0.46666666666666673,False
rfe,3965939.0,3967042.0,ECK3776,b3784,171.5,95.8,0.6,202.5,103.9,0.5,164.3,213.1,1.3,3,0.8000000000000002,False
rffA,3973169.0,3974299.0,ECK3783,b3791,116.1,185.4,1.6,123.2,137.7,1.1,136.8,131.7,1.0,3,1.2333333333333334,False
rffC,3972619.0,3973164.0,ECK3782,b3790,98.9,38.2,0.4,101.1,23.0,0.2,136.2,50.8,0.4,3,0.3333333333333333,False
rffD,3969283.0,3970545.0,ECK3779,b3787,189.8,131.8,0.7,206.6,129.2,0.6,212.2,118.8,0.6,3,0.6333333333333333,False
rffE,3968156.0,3969286.0,ECK3778,b3786,141.2,71.6,0.5,191.0,104.3,0.5,205.3,141.7,0.7,3,0.5666666666666667,False
rffG,3970545.0,3971612.0,ECK3780,b3788,208.1,132.5,0.6,187.4,101.9,0.5,202.9,96.2,0.5,3,0.5333333333333333,False
rffH,3971631.0,3972512.0,ECK3781,b3789,183.6,85.9,0.5,176.0,70.2,0.4,189.8,45.4,0.2,3,0.3666666666666667,False
rffM,3977979.0,3978719.0,ECK3787,b3794,71.0,99.1,1.4,90.9,115.2,1.3,70.8,105.4,1.5,3,1.4000000000000001,False
rffT,3975548.0,3976627.0,ECK3785,b4481,66.2,39.7,0.6,88.3,44.2,0.5,83.2,52.3,0.6,3,0.5666666666666668,False
rhaA,4094005.0,4092746.0,ECK3896,b3903,3.2,1.9,0.6,0.7,1.3,1.8,0.9,0.8,0.9,3,1.0999999999999999,False
rhaB,4095471.0,4094002.0,ECK3897,b3904,1.2,0.4,0.3,1.9,0.0,0.0,1.1,0.0,0.0,3,0.09999999999999999,False
rhaD,4092295.0,4091471.0,ECK3895,b3902,1.6,4.5,2.7,0.0,4.1,,1.0,1.2,1.3,2,2.0,False
rhaM,4091461.0,4091147.0,ECK3894,b3901,0.0,0.6,,3.0,0.0,0.0,0.0,3.3,,1,0.0,False
rhaR,4096669.0,4097517.0,ECK3899,b3906,4.8,1.4,0.3,3.3,0.0,0.0,1.9,0.0,0.0,3,0.09999999999999999,False
rhaS,4095759.0,4096595.0,ECK3898,b3905,0.5,0.5,0.9,7.8,1.0,0.1,2.9,3.7,1.3,3,0.7666666666666666,False
rhaT,4098548.0,4097514.0,ECK3900,b3907,2.2,0.9,0.4,6.3,0.8,0.1,4.6,2.0,0.4,3,0.3,False
rhlB,3963653.0,3962388.0,ECK3772,b3780,554.0,716.7,1.3,516.4,766.9,1.5,408.0,617.7,1.5,3,1.4333333333333333,False
rhlE,830095.0,831459.0,ECK0786,b0797,128.9,232.4,1.8,196.0,314.6,1.6,170.1,229.6,1.3,3,1.5666666666666667,False
rho,3964440.0,3965699.0,ECK3775,b3783,718.3,1217.8,1.7,790.5,1607.6,2.0,623.3,1171.1,1.9,3,1.8666666666666665,False
rhoL,3964254.0,3964355.0,ECK3774,b3782,1054.1,278.7,0.3,1623.0,246.2,0.2,982.5,211.5,0.2,3,0.2333333333333333,False
rhsA,3760206.0,3764339.0,ECK3582,b3593,3.9,0.8,0.2,6.8,1.0,0.1,6.5,1.0,0.2,3,0.16666666666666666,False
rhsB,3617215.0,3621450.0,ECK3466,b3482,4.5,1.6,0.4,5.5,1.8,0.3,4.8,2.2,0.5,3,0.39999999999999997,False
rhsC,728806.0,732999.0,ECK0689,b0700,4.7,1.2,0.3,5.4,1.2,0.2,4.9,2.4,0.5,3,0.3333333333333333,False
rhsD,522485.0,526765.0,ECK0491,b0497,5.1,2.8,0.5,4.2,2.3,0.6,4.2,2.9,0.7,3,0.6,False
rhtA,849320.0,848433.0,ECK0802,b0813,14.7,11.6,0.8,20.0,15.1,0.8,13.9,27.8,2.0,3,1.2,False
rhtB,4007082.0,4006462.0,ECK3818,b3824,19.6,22.6,1.2,6.0,6.7,1.1,12.8,14.9,1.2,3,1.1666666666666667,False
rhtC,4005780.0,4006400.0,ECK3817,b3823,44.9,67.7,1.5,45.2,66.0,1.5,33.9,59.6,1.8,3,1.5999999999999999,False
ribA,1337184.0,1336594.0,ECK1272,b1277,137.8,327.5,2.4,131.4,271.9,2.1,125.2,193.0,1.5,3,2.0,False
ribB,3182488.0,3181835.0,ECK3032,b3041,612.9,1161.9,1.9,687.9,1379.6,2.0,663.4,1024.4,1.5,3,1.8,False
ribC,1741266.0,1740625.0,ECK1658,b1662,175.2,373.3,2.1,131.1,225.5,1.7,162.9,265.7,1.6,3,1.8,False
ribD,432679.0,433782.0,ECK0408,b0414,142.2,94.9,0.7,138.9,105.4,0.8,139.0,91.2,0.7,3,0.7333333333333334,False
ribE,433871.0,434341.0,ECK0409,b0415,377.3,1286.0,3.4,564.0,821.0,1.5,491.4,890.1,1.8,3,2.2333333333333334,False
ribF,21407.0,22348.0,ECK0026,b0025,295.1,84.1,0.3,272.0,116.4,0.4,304.4,113.4,0.4,3,0.3666666666666667,False
ridA,4468936.0,4468550.0,ECK4238,b4243,252.2,1070.1,4.2,321.4,904.0,2.8,319.6,1062.0,3.3,3,3.4333333333333336,False
rihA,683635.0,682700.0,ECK0644,b0651,24.5,70.1,2.9,24.0,34.0,1.4,12.7,46.1,3.6,3,2.6333333333333333,False
rihB,2253208.0,2252267.0,ECK2155,b2162,0.0,0.2,,0.0,0.0,,0.8,0.0,0.0,1,0.0,False
rihC,27293.0,28207.0,ECK0031,b0030,16.2,37.0,2.3,24.5,19.2,0.8,12.6,23.6,1.9,3,1.6666666666666667,False
rimI,4606208.0,4606654.0,ECK4364,b4373,88.6,39.6,0.4,177.9,84.3,0.5,167.2,80.5,0.5,3,0.4666666666666666,False
rimJ,1124785.0,1125369.0,ECK1051,b1066,87.7,87.2,1.0,75.1,58.7,0.8,73.4,54.5,0.7,3,0.8333333333333334,False
rimK,891190.0,892092.0,ECK0843,b0852,67.8,11.9,0.2,83.9,19.5,0.2,89.8,29.6,0.3,3,0.2333333333333333,False
rimL,1496962.0,1497501.0,ECK1420,b1427,28.3,49.0,1.7,8.7,43.4,5.0,15.5,64.7,4.2,3,3.6333333333333333,False
rimM,2743940.0,2743392.0,ECK2605,b2608,8081.8,438.3,0.1,8559.1,710.5,0.1,9041.9,943.3,0.1,3,0.10000000000000002,False
rimO,877258.0,875933.0,ECK0825,b0835,104.8,238.6,2.3,160.8,313.7,2.0,148.1,215.4,1.5,3,1.9333333333333333,False
rimP,3316028.0,3315576.0,ECK3159,b3170,580.9,463.3,0.8,778.4,825.9,1.1,878.7,834.7,0.9,3,0.9333333333333335,False
rlmA,1905084.0,1904275.0,ECK1820,b1822,42.8,69.9,1.6,76.2,110.6,1.5,68.7,88.8,1.3,3,1.4666666666666668,False
rlmB,4407298.0,4408029.0,ECK4176,b4180,108.2,176.9,1.6,139.3,261.8,1.9,154.3,192.3,1.2,3,1.5666666666666667,False
rlmC,897741.0,898868.0,ECK0850,b0859,24.7,8.6,0.3,47.3,23.7,0.5,47.2,31.9,0.7,3,0.5,False
rlmD,2913022.0,2911721.0,ECK2779,b2785,66.0,78.5,1.2,52.4,79.1,1.5,70.9,52.1,0.7,3,1.1333333333333335,False
rlmE,3325686.0,3325057.0,ECK3168,b3179,463.4,211.7,0.5,470.6,357.4,0.8,597.8,202.2,0.3,3,0.5333333333333333,False
rlmF,841555.0,842481.0,ECK0796,b0807,55.3,85.1,1.5,103.9,132.7,1.3,81.1,124.1,1.5,3,1.4333333333333333,False
rlmG,3233897.0,3232761.0,ECK3074,b3084,51.8,67.0,1.3,101.2,161.2,1.6,97.9,113.9,1.2,3,1.366666666666667,False
rlmH,667938.0,667471.0,ECK0629,b0636,176.9,41.2,0.2,351.7,127.0,0.4,397.7,129.5,0.3,3,0.30000000000000004,False
rlmI,1029192.0,1028002.0,ECK0958,b0967,130.7,249.3,1.9,139.8,273.4,2.0,146.2,241.6,1.7,3,1.8666666666666665,False
rlmJ,3643408.0,3644250.0,ECK3484,b3499,84.8,188.2,2.2,98.7,205.5,2.1,65.1,178.0,2.7,3,2.3333333333333335,False
rlmL,1007067.0,1009175.0,ECK0939,b0948,119.9,173.9,1.5,154.3,189.7,1.2,155.0,184.7,1.2,3,1.3,False
rlmM,2939265.0,2938165.0,ECK2801,b2806,140.1,123.3,0.9,159.7,217.4,1.4,198.3,174.5,0.9,3,1.0666666666666667,False
rlmN,2642305.0,2641151.0,ECK2513,b2517,187.7,165.0,0.9,279.4,297.8,1.1,318.8,231.3,0.7,3,0.9,False
rlpA,664413.0,663325.0,ECK0626,b0633,151.6,112.6,0.7,207.8,140.7,0.7,188.8,144.4,0.8,3,0.7333333333333334,False
rluA,60346.0,59687.0,ECK0059,b0058,156.1,53.7,0.3,167.2,95.1,0.6,192.2,63.8,0.3,3,0.39999999999999997,False
rluB,1324876.0,1325751.0,ECK1263,b1269,281.9,490.7,1.7,345.9,754.8,2.2,396.3,636.9,1.6,3,1.8333333333333333,False
rluC,1144163.0,1145122.0,ECK1071,b1086,167.8,234.0,1.4,234.8,391.5,1.7,267.2,340.4,1.3,3,1.4666666666666666,False
rluD,2734033.0,2733053.0,ECK2592,b2594,135.3,290.8,2.1,198.3,329.3,1.7,191.3,269.2,1.4,3,1.7333333333333332,False
rluE,1194174.0,1193521.0,ECK1121,b1135,28.2,77.7,2.8,38.6,93.4,2.4,29.8,102.1,3.4,3,2.8666666666666667,False
rluF,4228377.0,4229249.0,ECK4014,b4022,109.8,192.0,1.7,82.5,120.8,1.5,80.6,153.0,1.9,3,1.7,False
rmf,1014938.0,1015105.0,ECK0944,b0953,72.3,82.3,1.1,44.5,69.8,1.6,80.5,91.7,1.1,3,1.2666666666666668,False
rmuC,4015356.0,4016783.0,ECK3826,b3832,27.1,6.5,0.2,19.0,4.1,0.2,25.3,13.0,0.5,3,0.3,False
rna,644226.0,643420.0,ECK0604,b0611,75.8,160.9,2.1,76.5,93.3,1.2,70.0,103.1,1.5,3,1.5999999999999999,False
rnb,1346936.0,1345002.0,ECK1281,b1286,273.9,482.7,1.8,321.4,474.1,1.5,247.8,340.9,1.4,3,1.5666666666666664,False
rnc,2702085.0,2701405.0,ECK2565,b2567,169.1,130.1,0.8,313.1,427.7,1.4,331.1,362.1,1.1,3,1.1,False
rnd,1886015.0,1884888.0,ECK1802,b1804,79.8,63.2,0.8,113.6,126.9,1.1,111.0,91.1,0.8,3,0.9,False
rne,1143590.0,1140405.0,ECK1069,b1084,237.8,352.3,1.5,289.5,331.5,1.1,278.1,343.5,1.2,3,1.2666666666666666,False
rng,3395817.0,3394348.0,ECK3235,b3247,136.5,115.9,0.8,134.2,67.8,0.5,152.6,82.5,0.5,3,0.6,False
rnhA,236002.0,235535.0,ECK0214,b0214,93.2,105.7,1.1,81.9,87.6,1.1,104.5,109.8,1.1,3,1.1,False
rnhB,204493.0,205089.0,ECK0182,b0183,108.5,34.2,0.3,156.7,61.7,0.4,161.9,98.1,0.6,3,0.4333333333333333,False
rnk,643190.0,642780.0,ECK0603,b0610,111.6,335.9,3.0,157.0,421.6,2.7,167.4,405.0,2.4,3,2.6999999999999997,False
rnlA,2763940.0,2765013.0,ECK2626,b2630,92.6,120.4,1.3,101.9,67.0,0.7,97.7,59.3,0.6,3,0.8666666666666667,False
rnlB,2765006.0,2765377.0,ECK2627,b2631,70.1,42.9,0.6,90.5,51.8,0.6,93.0,55.2,0.6,3,0.6,False
rnpA,3882516.0,3882875.0,ECK3696,b3704,747.3,152.5,0.2,1784.9,460.4,0.3,1267.0,456.7,0.4,3,0.3,False
rnr,4404677.0,4407118.0,ECK4175,b4179,136.5,207.9,1.5,123.7,128.2,1.0,122.3,100.1,0.8,3,1.0999999999999999,False
rnt,1726371.0,1727018.0,ECK1648,b1652,39.6,78.1,2.0,80.8,158.9,2.0,59.5,147.5,2.5,3,2.1666666666666665,False
rob,4633333.0,4632464.0,ECK4388,b4396,290.6,469.3,1.6,197.8,248.2,1.3,226.7,307.1,1.4,3,1.4333333333333336,False
rodZ,2640866.0,2639853.0,ECK2512,b2516,254.2,287.8,1.1,236.1,231.1,1.0,256.5,249.3,1.0,3,1.0333333333333334,False
rof,213932.0,213678.0,ECK0188,b0189,134.1,144.3,1.1,95.4,39.4,0.4,109.2,112.8,1.0,3,0.8333333333333334,False
rpe,3513081.0,3512404.0,ECK3373,b3386,234.2,398.9,1.7,175.2,192.6,1.1,160.1,148.5,0.9,3,1.2333333333333332,False
rph,3814572.0,3813886.0,ECK3633,b3643,171.6,384.6,2.2,306.3,547.0,1.8,309.1,583.3,1.9,3,1.9666666666666668,False
rpiA,3057347.0,3056688.0,ECK2910,b2914,354.4,1133.4,3.2,317.4,591.0,1.9,307.3,516.9,1.7,3,2.2666666666666666,False
rpiB,4311373.0,4311822.0,ECK4083,b4090,11.0,9.1,0.8,6.2,14.9,2.4,9.7,6.9,0.7,3,1.3,False
rpiR,4311014.0,4310124.0,ECK4082,b4089,39.4,42.6,1.1,23.1,44.2,1.9,34.8,28.8,0.8,3,1.2666666666666666,False
rplA,4176902.0,4177606.0,ECK3975,b3984,11376.5,15750.0,1.4,11564.5,12925.4,1.1,13532.3,9629.6,0.7,3,1.0666666666666667,False
rplB,3449386.0,3448565.0,ECK3304,b3317,14756.0,15000.7,1.0,12751.6,10550.1,0.8,13032.9,9686.5,0.7,3,0.8333333333333334,False
rplC,3450948.0,3450319.0,ECK3307,b3320,13730.6,12078.9,0.9,12763.1,10656.5,0.8,13067.9,8044.1,0.6,3,0.7666666666666667,False
rplD,3450308.0,3449703.0,ECK3306,b3319,15376.7,12795.7,0.8,13174.4,9736.0,0.7,13574.3,7560.6,0.6,3,0.7000000000000001,False
rplE,3445460.0,3444921.0,ECK3295,b3308,14706.9,9941.4,0.7,13376.4,8167.0,0.6,14782.0,6825.4,0.5,3,0.6,False
rplF,3444162.0,3443629.0,ECK3292,b3305,14226.0,10079.0,0.7,13243.0,9754.1,0.7,13323.2,8008.6,0.6,3,0.6666666666666666,False
rplI,4424131.0,4424580.0,ECK4199,b4203,7119.7,10732.1,1.5,8885.3,11372.1,1.3,6735.5,12115.7,1.8,3,1.5333333333333332,False
rplJ,4178019.0,4178516.0,ECK3976,b3985,19636.4,14066.3,0.7,21879.9,14387.0,0.7,21714.1,11108.9,0.5,3,0.6333333333333333,False
rplK,4176470.0,4176898.0,ECK3974,b3983,10123.3,17187.3,1.7,10632.7,14139.3,1.3,12223.7,13753.1,1.1,3,1.3666666666666665,False
rplL,4178583.0,4178948.0,ECK3977,b3986,19030.3,44492.0,2.3,16794.4,43823.7,2.6,22565.7,43815.9,1.9,3,2.266666666666667,False
rplM,3376673.0,3376245.0,ECK3220,b3231,8803.1,11747.2,1.3,10521.5,13370.6,1.3,12245.0,10620.2,0.9,3,1.1666666666666667,False
rplN,3446171.0,3445800.0,ECK3297,b3310,18087.3,9261.2,0.5,16154.0,8604.0,0.5,19492.9,8816.9,0.5,3,0.5,False
rplO,3442561.0,3442127.0,ECK3288,b3301,15106.8,10740.6,0.7,14010.1,10140.2,0.7,14499.6,7806.8,0.5,3,0.6333333333333333,False
rplP,3447191.0,3446781.0,ECK3300,b3313,13975.0,16147.0,1.2,12183.9,11514.4,0.9,12172.7,9380.3,0.8,3,0.9666666666666668,False
rplQ,3438021.0,3437638.0,ECK3281,b3294,13431.2,12688.3,0.9,15176.6,13487.9,0.9,15873.3,12878.9,0.8,3,0.8666666666666667,False
rplR,3443619.0,3443266.0,ECK3291,b3304,12895.8,8574.4,0.7,12206.4,7135.8,0.6,13328.4,6162.3,0.5,3,0.6,False
rplS,2742552.0,2742205.0,ECK2603,b2606,7273.9,22309.0,3.1,7544.2,18755.6,2.5,8134.9,14438.5,1.8,3,2.4666666666666663,False
rplT,1797773.0,1797417.0,ECK1714,b1716,10833.1,15903.0,1.5,12853.1,13361.6,1.0,16068.0,10859.6,0.7,3,1.0666666666666667,False
rplU,3331473.0,3331162.0,ECK3175,b3186,8571.7,13001.0,1.5,10141.4,19133.0,1.9,11441.7,13977.0,1.2,3,1.5333333333333332,False
rplV,3448255.0,3447923.0,ECK3302,b3315,15272.1,14687.6,1.0,13004.3,10124.5,0.8,14147.4,6680.5,0.5,3,0.7666666666666666,False
rplW,3449706.0,3449404.0,ECK3305,b3318,13751.0,12875.1,0.9,10353.1,8618.6,0.8,14538.9,6948.5,0.5,3,0.7333333333333334,False
rplX,3445789.0,3445475.0,ECK3296,b3309,15670.6,11142.2,0.7,12633.9,7828.0,0.6,16294.0,6008.6,0.4,3,0.5666666666666665,False
rplY,2280539.0,2280823.0,ECK2179,b2185,2855.4,9654.9,3.4,3865.9,13221.7,3.4,3181.3,16591.9,5.2,3,4.0,False
rpmA,3331141.0,3330884.0,ECK3174,b3185,6667.6,11161.9,1.7,8975.9,17022.3,1.9,9597.8,14265.9,1.5,3,1.7,False
rpmB,3809697.0,3809461.0,ECK3627,b3637,6689.0,13723.3,2.1,11286.7,19424.1,1.7,13091.0,20437.8,1.6,3,1.8,False
rpmC,3446781.0,3446590.0,ECK3299,b3312,14236.0,10211.4,0.7,13050.3,9930.7,0.8,16726.7,8338.0,0.5,3,0.6666666666666666,False
rpmD,3442744.0,3442565.0,ECK3289,b3302,14737.7,11983.6,0.8,13494.2,12383.0,0.9,11996.1,8111.8,0.7,3,0.8000000000000002,False
rpmE,4125036.0,4125248.0,ECK3928,b3936,4040.2,20135.1,5.0,5497.6,17722.4,3.2,5841.7,16580.3,2.8,3,3.6666666666666665,False
rpmF,1146590.0,1146763.0,ECK1075,b1089,6127.3,16232.6,2.6,9815.2,19414.6,2.0,11239.7,24123.3,2.1,3,2.233333333333333,False
rpmG,3809440.0,3809273.0,ECK3626,b3636,7187.0,10549.6,1.5,7176.2,11254.7,1.6,12431.7,9119.3,0.7,3,1.2666666666666666,False
rpmH,3882359.0,3882499.0,ECK3695,b3703,4039.1,13942.2,3.5,6991.5,25947.1,3.7,8051.9,37216.9,4.6,3,3.9333333333333336,False
rpmI,1798023.0,1797826.0,ECK1715,b1717,11337.2,27869.2,2.5,11771.5,29223.2,2.5,14673.3,25039.5,1.7,3,2.2333333333333334,False
rpmJ,3440756.0,3440640.0,ECK3286,b3299,18124.9,12387.4,0.7,12894.3,6910.6,0.5,17952.6,6736.0,0.4,3,0.5333333333333333,False
rpoA,3439051.0,3438062.0,ECK3282,b3295,15880.3,4473.9,0.3,15988.8,3687.0,0.2,17830.9,3902.5,0.2,3,0.2333333333333333,False
rpoB,4179268.0,4183296.0,ECK3978,b3987,1695.6,2009.7,1.2,1453.7,1300.1,0.9,1496.6,1045.6,0.7,3,0.9333333333333332,False
rpoC,4183373.0,4187596.0,ECK3979,b3988,2009.3,1901.1,0.9,1911.1,1411.8,0.7,2016.2,1001.7,0.5,3,0.7000000000000001,False
rpoD,3211069.0,3212910.0,ECK3057,b3067,463.0,764.3,1.7,575.8,912.9,1.6,537.8,670.5,1.2,3,1.5,False
rpoE,2708034.0,2707459.0,ECK2571,b2573,312.4,109.5,0.4,245.2,87.2,0.4,263.7,108.8,0.4,3,0.4000000000000001,False
rpoH,3598806.0,3597952.0,ECK3445,b3461,356.2,553.3,1.6,397.1,423.9,1.1,425.6,391.8,0.9,3,1.2,False
rpoN,3342739.0,3344172.0,ECK3191,b3202,245.9,129.9,0.5,218.5,97.5,0.4,225.7,97.5,0.4,3,0.43333333333333335,False
rpoS,2865573.0,2864581.0,ECK2736,b2741,599.4,696.2,1.2,562.3,509.1,0.9,575.1,431.5,0.8,3,0.9666666666666668,False
rpoZ,3820129.0,3820404.0,ECK3639,b3649,1106.7,2879.5,2.6,1433.4,4024.3,2.8,1655.5,4113.8,2.5,3,2.6333333333333333,False
rppH,2966999.0,2966469.0,ECK2826,b2830,338.0,176.0,0.5,285.3,140.3,0.5,307.8,162.5,0.5,3,0.5,False
rpsA,961218.0,962891.0,ECK0902,b0911,8754.7,13411.8,1.5,8932.2,10836.5,1.2,9290.2,23067.8,2.5,3,1.7333333333333334,False
rpsB,189874.0,190599.0,ECK0168,b0169,6956.0,18712.4,2.7,8350.7,13978.9,1.7,8781.4,8929.3,1.0,3,1.8,False
rpsC,3447905.0,3447204.0,ECK3301,b3314,14114.7,12064.3,0.9,12058.9,10695.0,0.9,13812.2,7835.3,0.6,3,0.7999999999999999,False
rpsD,3439697.0,3439077.0,ECK3283,b3296,16765.6,18514.1,1.1,14939.1,14857.1,1.0,16090.3,10470.5,0.7,3,0.9333333333333332,False
rpsE,3443251.0,3442748.0,ECK3290,b3303,14937.1,12011.3,0.8,12132.9,8097.7,0.7,12340.1,6650.4,0.5,3,0.6666666666666666,False
rpsF,4423141.0,4423536.0,ECK4196,b4200,7581.6,16668.7,2.2,9952.9,16408.2,1.6,4267.8,12854.5,3.0,3,2.266666666666667,False
rpsG,3472103.0,3471564.0,ECK3328,b3341,9274.5,11143.5,1.2,7769.9,11006.6,1.4,8782.4,9706.3,1.1,3,1.2333333333333332,False
rpsH,3444567.0,3444175.0,ECK3293,b3306,15176.0,11501.0,0.8,12058.9,7481.9,0.6,14044.6,7279.0,0.5,3,0.6333333333333333,False
rpsI,3376229.0,3375837.0,ECK3219,b3230,9664.4,13309.7,1.4,12468.2,19640.8,1.6,11998.7,15807.7,1.3,3,1.4333333333333333,False
rpsJ,3451292.0,3450981.0,ECK3308,b3321,13104.9,8947.3,0.7,14853.8,10964.2,0.7,15735.7,9521.1,0.6,3,0.6666666666666666,False
rpsK,3440120.0,3439731.0,ECK3284,b3297,14754.1,13958.8,0.9,15168.6,10320.9,0.7,12516.2,9490.1,0.8,3,0.8000000000000002,False
rpsL,3472574.0,3472200.0,ECK3329,b3342,9245.4,15715.4,1.7,9517.6,15545.9,1.6,9777.2,14097.7,1.4,3,1.5666666666666664,False
rpsM,3440493.0,3440137.0,ECK3285,b3298,16545.1,11042.6,0.7,16162.0,10658.3,0.7,16342.0,9305.3,0.6,3,0.6666666666666666,False
rpsN,3444906.0,3444601.0,ECK3294,b3307,13179.6,10939.3,0.8,11364.1,10172.6,0.9,12391.2,8243.7,0.7,3,0.8000000000000002,False
